date,ticker,momentum_6m,momentum_12m,rank_6m,rank_12m,composite_score,final_rank,weight
2017-08-31,MU,0.2503,0.9388,0.7347,0.9796,0.8082,9,0.0667
2017-08-31,ADBE,0.2926,0.5166,0.8367,0.7347,0.8061,10,0.0667
2017-08-31,CDNS,0.2633,0.5444,0.7959,0.7755,0.7898,11,0.0667
2017-08-31,ASML,0.2836,0.4816,0.8163,0.6939,0.7796,12,0.0667
2017-08-31,AMAT,0.2293,0.5282,0.7143,0.7551,0.7265,13,0.0667
2017-08-31,REGN,0.3123,0.2658,0.8571,0.4082,0.7224,14,0.0667
2017-08-31,MELI,0.2164,0.5073,0.6939,0.7143,0.7,15,0.0667
2017-09-29,NVDA,0.6443,1.6648,1.0,1.0,1.0,1,0.0667
2017-09-29,LRCX,0.4495,1.012,0.9592,0.9592,0.9592,2,0.0667
2017-09-29,MU,0.3609,1.2423,0.898,0.9796,0.9224,3,0.0667
2017-09-29,VRTX,0.3904,0.7887,0.9388,0.8776,0.9204,4,0.0667
2017-09-29,PYPL,0.4884,0.5853,0.9796,0.7755,0.9184,5,0.0667
2017-09-29,AMAT,0.3452,0.7797,0.8776,0.8571,0.8714,6,0.0667
2017-09-29,ISRG,0.3645,0.4526,0.9184,0.6735,0.8449,7,0.0667
2017-09-29,ASML,0.302,0.5902,0.8571,0.7959,0.8388,8,0.0667
2017-09-29,ADSK,0.2983,0.5681,0.8367,0.7347,0.8061,9,0.0667
2017-09-29,NFLX,0.2269,0.876,0.7347,0.9184,0.7898,10,0.0667
2017-09-29,CDNS,0.257,0.565,0.7959,0.7143,0.7714,11,0.0667
2017-09-29,MCHP,0.2277,0.4772,0.7551,0.6939,0.7367,12,0.0667
2017-09-29,TSLA,0.2257,0.6996,0.6939,0.8367,0.7367,12,0.0667
2017-09-29,MELI,0.2258,0.4132,0.7143,0.6327,0.6898,14,0.0667
2017-09-29,CSX,0.1747,0.8397,0.5918,0.898,0.6837,15,0.0667
2017-10-31,NVDA,0.9876,1.9199,1.0,1.0,1.0,1,0.0667
2017-10-31,MU,0.5825,1.5822,0.9796,0.9796,0.9796,2,0.0667
2017-10-31,LRCX,0.3974,1.1829,0.9388,0.9592,0.9449,3,0.0667
2017-10-31,PYPL,0.4802,0.7417,0.9592,0.8776,0.9347,4,0.0667
2017-10-31,AMAT,0.3643,0.9612,0.9184,0.9388,0.9245,5,0.0667
2017-10-31,ASML,0.3472,0.7283,0.898,0.8367,0.8796,6,0.0667
2017-10-31,ADSK,0.3386,0.7288,0.8776,0.8571,0.8714,7,0.0667
2017-10-31,CDNS,0.3175,0.6873,0.8367,0.8163,0.8306,8,0.0667
2017-10-31,ISRG,0.3321,0.6755,0.8571,0.7551,0.8265,9,0.0667
2017-10-31,ADBE,0.2989,0.6292,0.7959,0.7347,0.7776,10,0.0667
2017-10-31,MAR,0.2399,0.7634,0.7143,0.898,0.7694,11,0.0667
2017-10-31,MCHP,0.271,0.5964,0.7551,0.7143,0.7429,12,0.0667
2017-10-31,VRTX,0.2283,0.9276,0.6531,0.9184,0.7327,13,0.0667
2017-10-31,NFLX,0.2625,0.5731,0.7347,0.6735,0.7163,14,0.0667
2017-10-31,CTAS,0.233,0.4152,0.6735,0.5102,0.6245,15,0.0667
2017-11-30,PYPL,0.415,0.928,1.0,0.9592,0.9878,1,0.0667
