date,ticker,momentum_6m,momentum_12m,volatility,rank_6m,rank_12m,rank_low_vol,composite_score,final_rank,weight
2018-06-29,FTNT,0.4185,0.6542,0.0149,0.9388,0.9184,0.6531,0.8755,2,0.0667
2018-06-29,ADBE,0.3888,0.7262,0.0144,0.898,0.9592,0.6735,0.8714,3,0.0667
2018-06-29,INTU,0.2944,0.5505,0.0135,0.8571,0.8571,0.7143,0.8286,4,0.0667
2018-06-29,NFLX,1.0312,1.608,0.0218,1.0,1.0,0.1429,0.8286,4,0.0667
2018-06-29,CTAS,0.1817,0.5046,0.0096,0.7755,0.7551,0.9592,0.8061,6,0.0667
2018-06-29,PANW,0.399,0.5254,0.0155,0.9184,0.7959,0.4898,0.7959,7,0.0667
2018-06-29,MSFT,0.1608,0.4679,0.012,0.7347,0.7143,0.8571,0.7531,8,0.0667
2018-06-29,ISRG,0.2972,0.5427,0.018,0.8776,0.8367,0.3061,0.751,9,0.0667
2018-06-29,ADP,0.1556,0.3506,0.0111,0.7143,0.6735,0.8776,0.7347,10,0.0667
2018-06-29,NVDA,0.2016,0.6196,0.0201,0.7959,0.898,0.2041,0.7082,11,0.0667
2018-06-29,MU,0.2542,0.6663,0.0312,0.8367,0.9388,0.0204,0.7041,12,0.0667
2018-06-29,COST,0.1261,0.3325,0.0085,0.6122,0.6327,1.0,0.6959,13,0.0667
2018-06-29,CSCO,0.1324,0.4164,0.0125,0.6531,0.6939,0.7959,0.6939,14,0.0667
2018-06-29,ADSK,0.2476,0.2929,0.0175,0.8163,0.5714,0.3673,0.6531,15,0.0667
2018-07-31,AMZN,0.2362,0.7994,0.0112,0.8776,0.9592,0.7143,0.8694,1,0.0667
2018-07-31,CTAS,0.2331,0.533,0.0109,0.8571,0.8776,0.8367,0.8592,2,0.0667
2018-07-31,FTNT,0.3754,0.7044,0.0162,0.9796,0.9388,0.4286,0.8571,3,0.0667
2018-07-31,ADBE,0.2427,0.6703,0.0143,0.898,0.9184,0.5102,0.8265,4,0.0667
2018-07-31,PANW,0.2838,0.5045,0.017,0.9592,0.8367,0.3673,0.8041,5,0.0667
2018-07-31,CSX,0.2523,0.4546,0.0138,0.9184,0.7551,0.551,0.7959,6,0.0667
